retailer_code,source_year,year,kpi,method,kpi_type,source_value,source_unit,value,unit,unit_neum,unit_denom_1,unit_denom_2,business_scope,note
ICE,2021,2020,Scope 1 and 2,Location,Intensity,0.0509,tCO2e/mGBP Sales Revenue,5.09,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2022,2021,Scope 1 and 2,Location,Intensity,0.0487,tCO2e/mGBP Sales Revenue,4.87,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2023,2022,Scope 1 and 2,Location,Intensity,0.0442,tCO2e/mGBP Sales Revenue,4.42,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2024,2023,Scope 1 and 2,Location,Intensity,0.0395,tCO2e/mGBP Sales Revenue,3.95,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2021,2019,Scope 1 and 2,Market,Intensity,0.0211,tCO2e/mGBP Sales Revenue,2.11,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2021,2020,Scope 1 and 2,Market,Intensity,0.021,tCO2e/mGBP Sales Revenue,2.1,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2022,2021,Scope 1 and 2,Market,Intensity,0.0205,tCO2e/mGBP Sales Revenue,2.05,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2023,2022,Scope 1 and 2,Market,Intensity,0.0183,tCO2e/mGBP Sales Revenue,1.83,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2024,2023,Scope 1 and 2,Market,Intensity,0.0163,tCO2e/mGBP Sales Revenue,1.63,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
ICE,2020,2019,Energy,,Measure,749450721,KWh,749.450721,GWh,,,,UK,
ICE,2021,2020,Energy,,Measure,813202632,KWh,813.202632,GWh,,,,UK,
ICE,2022,2021,Energy,,Measure,777878608,KWh,777.878608,GWh,,,,UK,
ICE,2023,2022,Energy,,Measure,198737142,KWh,198.737142,GWh,,,,UK,
ICE,2024,2023,Energy,,Measure,743007191,KWh,743.007191,GWh,,,,UK,
ICE,2020,2019,Scope 1,,Measure,68663,tCO2e,68663,tCO2e,,,,UK,
ICE,2021,2020,Scope 1,,Measure,79477,tCO2e,79477,tCO2e,,,,UK,
ICE,2022,2021,Scope 1,,Measure,73124,tCO2e,73124,tCO2e,,,,UK,
ICE,2023,2022,Scope 1,,Measure,69572,tCO2e,69572,tCO2e,,,,UK,
ICE,2024,2023,Scope 1,,Measure,67117,tCO2e,67117,tCO2e,,,,UK,
ICE,2020,2019,Scope 1 and 2,Location,Measure,189724,tCO2e,189724,tCO2e,,,,UK,
ICE,2021,2020,Scope 1 and 2,Location,Measure,192245,tCO2e,192245,tCO2e,,,,UK,
ICE,2022,2021,Scope 1 and 2,Location,Measure,172995,tCO2e,172995,tCO2e,,,,UK,
ICE,2023,2022,Scope 1 and 2,Location,Measure,167772,tCO2e,167772,tCO2e,,,,UK,
